User ID,Age,Gender,Location (City - Subarea),"Coordinates (X, Y)",Service Category Preferences,"Ratings (Plumbing, Housekeeping, etc.)",Number of Requests
14,22,Female,Ghardaia - M'zab Valley,"(32.485, 3.666)","Pest Control, Painting & Renovation, Tailoring & Alteration, Plastering & Tiling, Electrical Services","Pest Control (4.7), Painting & Renovation (3.7), Tailoring & Alteration (4.4), Plastering & Tiling (3.7), Electrical Services (4.9)",22
15,39,Male,Tlemcen - Sidi Bel Abbes,"(34.887, -1.32)","Personal Care (Home Services), Babysitting & Childcare, Auto Repair, Plastering & Tiling, Event Planning","Personal Care (Home Services) (3.4), Babysitting & Childcare (4.0), Auto Repair (3.2), Plastering & Tiling (3.5), Event Planning (3.2)",19
16,36,Female,Ghardaia - M'zab Valley,"(32.485, 3.666)","Pest Control, Tailoring & Alteration, Electrical Services, Plastering & Tiling, Painting & Renovation","Pest Control (5.0), Tailoring & Alteration (4.2), Electrical Services (3.2), Plastering & Tiling (4.7), Painting & Renovation (4.1)",30
17,31,Male,Batna - Aïn Touta,"(35.552, 5.804)","Tailoring & Alteration, Housekeeping / Cleaning, Plumbing, Pest Control, Painting & Renovation","Tailoring & Alteration (3.5), Housekeeping / Cleaning (3.1), Plumbing (4.8), Pest Control (3.9), Painting & Renovation (3.3)",25
18,38,Male,Algiers - Sidi Abdallah,"(36.745, 3.25)","Babysitting & Childcare, Carpentry","Babysitting & Childcare (4.3), Carpentry (3.4)",28
19,44,Female,Adrar - Timimoun,"(27.46, 0.286)","Housekeeping / Cleaning, Carpentry","Housekeeping / Cleaning (4.6), Carpentry (3.6)",24
20,40,Male,Bordj Bou Arreridj - El Achir,"(36.18, 3.086)","Personal Care (Home Services), Event Planning, Home Appliance Repair, Tutoring & Educational","Personal Care (Home Services) (3.1), Event Planning (3.7), Home Appliance Repair (4.4), Tutoring & Educational (4.0)",7
21,35,Male,Chlef - Tacheta,"(36.153, 1.333)","Home Appliance Repair, Pest Control, Tutoring & Educational, Tailoring & Alteration","Home Appliance Repair (4.5), Pest Control (3.6), Tutoring & Educational (4.0), Tailoring & Alteration (4.3)",18
22,23,Male,Biskra - El Hassi,"(34.85, 5.72)","Personal Care (Home Services), Electrical Services, Painting & Renovation, Babysitting & Childcare","Personal Care (Home Services) (3.9), Electrical Services (3.5), Painting & Renovation (3.3), Babysitting & Childcare (4.3)",23
23,39,Male,Chlef - Tacheta,"(36.153, 1.333)","Electrical Services, Personal Care (Home Services)","Electrical Services (5.0), Personal Care (Home Services) (3.6)",19
24,23,Female,Illizi - Djanet,"(26.269, 9.484)","Home Appliance Repair, Painting & Renovation, Tutoring & Educational, Plastering & Tiling, Housekeeping / Cleaning","Home Appliance Repair (4.2), Painting & Renovation (4.5), Tutoring & Educational (4.7), Plastering & Tiling (4.8), Housekeeping / Cleaning (3.4)",22
25,26,Male,Adrar - Timimoun,"(27.46, 0.286)","Carpentry, Plastering & Tiling, Home Appliance Repair","Carpentry (4.6), Plastering & Tiling (3.6), Home Appliance Repair (4.9)",25
26,18,Female,Sidi Bel Abbes - El Gharbi,"(35.189, -0.63)","Home Appliance Repair, Tailoring & Alteration, Tutoring & Educational, Babysitting & Childcare, Personal Care (Home Services)","Home Appliance Repair (4.4), Tailoring & Alteration (4.2), Tutoring & Educational (5.0), Babysitting & Childcare (4.3), Personal Care (Home Services) (4.2)",21
27,33,Female,Constantine - Ziadia,"(36.365, 6.613)","Personal Care (Home Services), Electrical Services, Housekeeping / Cleaning, Event Planning, Babysitting & Childcare","Personal Care (Home Services) (3.8), Electrical Services (3.1), Housekeeping / Cleaning (3.7), Event Planning (3.9), Babysitting & Childcare (4.3)",10
28,43,Male,Batna - Aïn Touta,"(35.552, 5.804)","Carpentry, Painting & Renovation","Carpentry (4.0), Painting & Renovation (4.2)",21
29,58,Female,Blida - Chrea,"(36.482, 2.831)","Auto Repair, Pest Control","Auto Repair (4.8), Pest Control (3.7)",18
30,55,Female,El Oued - Guemar,"(33.133, 6.9)","Painting & Renovation, Tutoring & Educational, Auto Repair, Carpentry","Painting & Renovation (4.2), Tutoring & Educational (4.9), Auto Repair (3.2), Carpentry (4.7)",16
31,50,Female,Annaba - El Hadjar,"(36.862, 7.76)","Event Planning, Carpentry, Painting & Renovation","Event Planning (3.6), Carpentry (4.4), Painting & Renovation (4.4)",16
32,43,Female,Annaba - El Hadjar,"(36.862, 7.76)","Electrical Services, Plumbing, Pest Control, Carpentry","Electrical Services (3.5), Plumbing (3.6), Pest Control (3.5), Carpentry (3.7)",8
33,48,Female,Constantine - Ziadia,"(36.365, 6.613)","Plastering & Tiling, Tutoring & Educational","Plastering & Tiling (4.8), Tutoring & Educational (3.2)",10
34,47,Male,Medea - Bordj Menaiel,"(36.267, 2.741)","Personal Care (Home Services), Home Appliance Repair","Personal Care (Home Services) (4.3), Home Appliance Repair (4.3)",23
35,24,Female,Chlef - Tacheta,"(36.153, 1.333)","Plastering & Tiling, Event Planning, Carpentry, Pest Control","Plastering & Tiling (4.9), Event Planning (4.8), Carpentry (3.3), Pest Control (4.3)",22
36,46,Female,Tizi Ouzou - Ait Ali,"(36.716, 4.044)","Painting & Renovation, Housekeeping / Cleaning","Painting & Renovation (4.5), Housekeeping / Cleaning (4.0)",10
37,22,Male,Ouargla - Hassi Messaoud,"(32.49, 6.266)","Plumbing, Painting & Renovation","Plumbing (3.4), Painting & Renovation (4.5)",23
38,41,Female,Tizi Ouzou - Ait Ali,"(36.716, 4.044)","Tutoring & Educational, Home Appliance Repair","Tutoring & Educational (4.2), Home Appliance Repair (3.8)",16
39,24,Male,Medea - Bordj Menaiel,"(36.267, 2.741)","Pest Control, Plumbing, Tailoring & Alteration, Plastering & Tiling, Painting & Renovation","Pest Control (3.1), Plumbing (3.1), Tailoring & Alteration (3.0), Plastering & Tiling (4.2), Painting & Renovation (3.8)",17
40,48,Female,El Oued - Guemar,"(33.133, 6.9)","Tailoring & Alteration, Event Planning, Babysitting & Childcare, Home Appliance Repair, Electrical Services","Tailoring & Alteration (4.2), Event Planning (4.1), Babysitting & Childcare (4.4), Home Appliance Repair (4.8), Electrical Services (3.5)",26
41,53,Male,Blida - Chrea,"(36.482, 2.831)","Tailoring & Alteration, Auto Repair, Carpentry, Babysitting & Childcare, Personal Care (Home Services)","Tailoring & Alteration (4.2), Auto Repair (3.8), Carpentry (5.0), Babysitting & Childcare (4.2), Personal Care (Home Services) (3.8)",27
42,29,Male,Mostaganem - Ain Nouissy,"(35.929, 0.089)","Tailoring & Alteration, Electrical Services","Tailoring & Alteration (4.6), Electrical Services (4.9)",9
43,44,Female,Batna - Aïn Touta,"(35.552, 5.804)","Personal Care (Home Services), Electrical Services, Carpentry","Personal Care (Home Services) (4.5), Electrical Services (3.9), Carpentry (4.3)",14
44,36,Female,Skikda - La Cloche,"(36.866, 6.906)","Plumbing, Home Appliance Repair, Carpentry, Housekeeping / Cleaning, Electrical Services","Plumbing (4.3), Home Appliance Repair (3.6), Carpentry (4.3), Housekeeping / Cleaning (4.4), Electrical Services (4.8)",16
45,36,Female,Tlemcen - Sidi Bel Abbes,"(34.887, -1.32)","Carpentry, Housekeeping / Cleaning","Carpentry (3.1), Housekeeping / Cleaning (4.1)",23
46,34,Male,El Oued - Guemar,"(33.133, 6.9)","Tutoring & Educational, Carpentry, Home Appliance Repair","Tutoring & Educational (3.8), Carpentry (3.8), Home Appliance Repair (4.6)",13
47,18,Female,Oran - El Hassi,"(35.72, -0.63)","Pest Control, Plumbing, Electrical Services, Plastering & Tiling, Auto Repair","Pest Control (4.5), Plumbing (3.4), Electrical Services (4.5), Plastering & Tiling (3.8), Auto Repair (5.0)",29
48,47,Male,Tlemcen - Sidi Bel Abbes,"(34.887, -1.32)","Plastering & Tiling, Housekeeping / Cleaning, Painting & Renovation, Pest Control, Carpentry","Plastering & Tiling (4.2), Housekeeping / Cleaning (4.3), Painting & Renovation (4.6), Pest Control (4.5), Carpentry (4.9)",26
49,39,Male,Medea - Bordj Menaiel,"(36.267, 2.741)","Tailoring & Alteration, Pest Control, Painting & Renovation, Babysitting & Childcare","Tailoring & Alteration (3.5), Pest Control (3.4), Painting & Renovation (3.6), Babysitting & Childcare (4.9)",8
50,56,Female,Tiaret - Merine,"(35.371, 1.315)","Plumbing, Home Appliance Repair, Tutoring & Educational","Plumbing (4.0), Home Appliance Repair (4.9), Tutoring & Educational (3.1)",24
51,52,Female,Algiers - Sidi Abdallah,"(36.745, 3.25)","Pest Control, Electrical Services, Painting & Renovation, Personal Care (Home Services)","Pest Control (4.4), Electrical Services (3.1), Painting & Renovation (3.7), Personal Care (Home Services) (4.4)",20
52,21,Male,Bordj Bou Arreridj - El Achir,"(36.18, 3.086)","Painting & Renovation, Tailoring & Alteration","Painting & Renovation (4.7), Tailoring & Alteration (4.3)",13
53,33,Female,Batna - Aïn Touta,"(35.552, 5.804)","Painting & Renovation, Plastering & Tiling","Painting & Renovation (4.3), Plastering & Tiling (3.6)",30
54,50,Female,Sidi Bel Abbes - El Gharbi,"(35.189, -0.63)","Home Appliance Repair, Plastering & Tiling, Personal Care (Home Services), Auto Repair","Home Appliance Repair (4.6), Plastering & Tiling (5.0), Personal Care (Home Services) (4.8), Auto Repair (4.9)",23
55,59,Male,Medea - Bordj Menaiel,"(36.267, 2.741)","Tailoring & Alteration, Babysitting & Childcare, Electrical Services","Tailoring & Alteration (3.4), Babysitting & Childcare (4.6), Electrical Services (3.2)",18
56,38,Female,Ouargla - Hassi Messaoud,"(32.49, 6.266)","Event Planning, Personal Care (Home Services), Babysitting & Childcare","Event Planning (4.1), Personal Care (Home Services) (3.4), Babysitting & Childcare (3.7)",18
57,26,Female,Ghardaia - M'zab Valley,"(32.485, 3.666)","Event Planning, Electrical Services, Home Appliance Repair, Housekeeping / Cleaning","Event Planning (4.8), Electrical Services (4.9), Home Appliance Repair (3.4), Housekeeping / Cleaning (4.9)",15
58,56,Male,Batna - Aïn Touta,"(35.552, 5.804)","Plumbing, Babysitting & Childcare, Electrical Services, Painting & Renovation","Plumbing (4.8), Babysitting & Childcare (4.1), Electrical Services (3.1), Painting & Renovation (3.7)",13
59,27,Female,Ghardaia - M'zab Valley,"(32.485, 3.666)","Event Planning, Plastering & Tiling, Home Appliance Repair, Tutoring & Educational","Event Planning (3.4), Plastering & Tiling (4.2), Home Appliance Repair (4.3), Tutoring & Educational (3.1)",22
60,20,Female,Adrar - Timimoun,"(27.46, 0.286)","Home Appliance Repair, Pest Control, Tailoring & Alteration, Babysitting & Childcare","Home Appliance Repair (3.7), Pest Control (4.5), Tailoring & Alteration (3.6), Babysitting & Childcare (3.3)",5
61,42,Male,Illizi - Djanet,"(26.269, 9.484)","Pest Control, Carpentry","Pest Control (4.5), Carpentry (4.7)",10
62,55,Male,Oran - El Hassi,"(35.72, -0.63)","Plumbing, Tailoring & Alteration, Auto Repair, Event Planning, Painting & Renovation","Plumbing (3.5), Tailoring & Alteration (3.3), Auto Repair (3.1), Event Planning (3.8), Painting & Renovation (4.3)",14
63,53,Male,El Oued - Guemar,"(33.133, 6.9)","Painting & Renovation, Auto Repair, Personal Care (Home Services), Tailoring & Alteration, Babysitting & Childcare","Painting & Renovation (3.4), Auto Repair (4.8), Personal Care (Home Services) (3.6), Tailoring & Alteration (4.1), Babysitting & Childcare (3.7)",8
64,36,Female,Setif - Belkhir,"(36.185, 5.404)","Plumbing, Electrical Services, Carpentry","Plumbing (4.3), Electrical Services (3.4), Carpentry (3.9)",8
65,40,Male,Constantine - Ziadia,"(36.365, 6.613)","Painting & Renovation, Carpentry, Plumbing, Pest Control, Event Planning","Painting & Renovation (4.7), Carpentry (3.2), Plumbing (3.3), Pest Control (3.0), Event Planning (3.5)",28
66,39,Male,Tlemcen - Sidi Bel Abbes,"(34.887, -1.32)","Personal Care (Home Services), Event Planning, Carpentry, Tailoring & Alteration, Electrical Services","Personal Care (Home Services) (4.6), Event Planning (3.4), Carpentry (3.9), Tailoring & Alteration (3.2), Electrical Services (5.0)",26
67,29,Female,Tizi Ouzou - Ait Ali,"(36.716, 4.044)","Housekeeping / Cleaning, Personal Care (Home Services), Plumbing, Babysitting & Childcare, Painting & Renovation","Housekeeping / Cleaning (3.4), Personal Care (Home Services) (3.8), Plumbing (3.0), Babysitting & Childcare (3.1), Painting & Renovation (4.5)",13
68,27,Male,M'sila - Ksar El Hirane,"(35.45, 4.52)","Plumbing, Plastering & Tiling, Electrical Services, Home Appliance Repair, Auto Repair","Plumbing (4.7), Plastering & Tiling (3.7), Electrical Services (4.5), Home Appliance Repair (4.7), Auto Repair (5.0)",28
69,58,Female,Tiaret - Merine,"(35.371, 1.315)","Auto Repair, Plumbing, Plastering & Tiling","Auto Repair (3.5), Plumbing (3.9), Plastering & Tiling (4.8)",22
70,42,Female,Blida - Chrea,"(36.482, 2.831)","Painting & Renovation, Tailoring & Alteration, Personal Care (Home Services)","Painting & Renovation (3.5), Tailoring & Alteration (3.5), Personal Care (Home Services) (3.2)",19
71,18,Female,Biskra - El Hassi,"(34.85, 5.72)","Electrical Services, Tailoring & Alteration, Housekeeping / Cleaning, Home Appliance Repair","Electrical Services (4.9), Tailoring & Alteration (4.6), Housekeeping / Cleaning (3.8), Home Appliance Repair (3.7)",19
72,33,Male,Tiaret - Merine,"(35.371, 1.315)","Housekeeping / Cleaning, Auto Repair, Carpentry, Plumbing, Tailoring & Alteration","Housekeeping / Cleaning (3.0), Auto Repair (3.6), Carpentry (4.5), Plumbing (4.3), Tailoring & Alteration (4.2)",18
73,46,Male,Oran - El Hassi,"(35.72, -0.63)","Pest Control, Home Appliance Repair","Pest Control (4.2), Home Appliance Repair (4.5)",13
74,42,Female,Skikda - La Cloche,"(36.866, 6.906)","Home Appliance Repair, Plastering & Tiling, Painting & Renovation","Home Appliance Repair (4.9), Plastering & Tiling (3.6), Painting & Renovation (4.0)",24
75,54,Female,Skikda - La Cloche,"(36.866, 6.906)","Electrical Services, Housekeeping / Cleaning","Electrical Services (4.4), Housekeeping / Cleaning (3.1)",24
76,18,Female,Biskra - El Hassi,"(34.85, 5.72)","Plastering & Tiling, Home Appliance Repair, Tailoring & Alteration, Pest Control, Electrical Services","Plastering & Tiling (3.9), Home Appliance Repair (3.6), Tailoring & Alteration (3.7), Pest Control (4.5), Electrical Services (3.1)",30
77,24,Female,Biskra - El Hassi,"(34.85, 5.72)","Auto Repair, Electrical Services, Pest Control, Personal Care (Home Services), Painting & Renovation","Auto Repair (3.2), Electrical Services (3.3), Pest Control (3.6), Personal Care (Home Services) (3.8), Painting & Renovation (4.4)",13
78,29,Female,Blida - Chrea,"(36.482, 2.831)","Painting & Renovation, Pest Control, Home Appliance Repair","Painting & Renovation (3.1), Pest Control (3.0), Home Appliance Repair (4.4)",7
79,52,Female,Biskra - El Hassi,"(34.85, 5.72)","Tutoring & Educational, Babysitting & Childcare, Painting & Renovation, Auto Repair","Tutoring & Educational (4.4), Babysitting & Childcare (4.0), Painting & Renovation (4.5), Auto Repair (4.1)",16
80,48,Male,Biskra - El Hassi,"(34.85, 5.72)","Personal Care (Home Services), Event Planning","Personal Care (Home Services) (3.0), Event Planning (3.3)",26
81,24,Female,Skikda - La Cloche,"(36.866, 6.906)","Plumbing, Electrical Services","Plumbing (4.9), Electrical Services (4.6)",12
82,59,Female,Ghardaia - M'zab Valley,"(32.485, 3.666)","Tutoring & Educational, Pest Control, Housekeeping / Cleaning, Event Planning, Personal Care (Home Services)","Tutoring & Educational (3.7), Pest Control (3.3), Housekeeping / Cleaning (3.4), Event Planning (4.2), Personal Care (Home Services) (4.8)",27
83,56,Male,Bejaia - Tizi Rached,"(36.761, 5.748)","Babysitting & Childcare, Auto Repair, Electrical Services","Babysitting & Childcare (3.3), Auto Repair (4.4), Electrical Services (4.6)",14
84,29,Female,Setif - Belkhir,"(36.185, 5.404)","Plumbing, Carpentry, Painting & Renovation, Babysitting & Childcare","Plumbing (4.4), Carpentry (4.3), Painting & Renovation (4.9), Babysitting & Childcare (4.8)",29
85,29,Female,Batna - Aïn Touta,"(35.552, 5.804)","Personal Care (Home Services), Home Appliance Repair","Personal Care (Home Services) (3.3), Home Appliance Repair (3.9)",22
86,52,Male,Chlef - Tacheta,"(36.153, 1.333)","Home Appliance Repair, Painting & Renovation, Pest Control, Tailoring & Alteration","Home Appliance Repair (4.5), Painting & Renovation (4.6), Pest Control (5.0), Tailoring & Alteration (4.2)",9
87,36,Female,Sidi Bel Abbes - El Gharbi,"(35.189, -0.63)","Auto Repair, Housekeeping / Cleaning","Auto Repair (4.2), Housekeeping / Cleaning (3.9)",15
88,47,Male,Batna - Aïn Touta,"(35.552, 5.804)","Housekeeping / Cleaning, Tutoring & Educational, Auto Repair, Plastering & Tiling, Babysitting & Childcare","Housekeeping / Cleaning (4.2), Tutoring & Educational (3.9), Auto Repair (4.9), Plastering & Tiling (3.4), Babysitting & Childcare (3.6)",27
89,49,Female,Sidi Bel Abbes - El Gharbi,"(35.189, -0.63)","Tailoring & Alteration, Electrical Services","Tailoring & Alteration (3.3), Electrical Services (4.0)",30
90,28,Male,Ouargla - Hassi Messaoud,"(32.49, 6.266)","Auto Repair, Personal Care (Home Services), Housekeeping / Cleaning","Auto Repair (3.6), Personal Care (Home Services) (4.0), Housekeeping / Cleaning (3.5)",24
91,48,Male,Oran - El Hassi,"(35.72, -0.63)","Event Planning, Tutoring & Educational, Babysitting & Childcare, Auto Repair, Plastering & Tiling","Event Planning (4.5), Tutoring & Educational (3.5), Babysitting & Childcare (4.1), Auto Repair (3.9), Plastering & Tiling (4.8)",23
92,46,Female,Tizi Ouzou - Ait Ali,"(36.716, 4.044)","Carpentry, Plumbing, Event Planning","Carpentry (3.3), Plumbing (4.4), Event Planning (3.8)",17
93,34,Male,Skikda - La Cloche,"(36.866, 6.906)","Personal Care (Home Services), Tutoring & Educational, Plumbing","Personal Care (Home Services) (4.7), Tutoring & Educational (3.1), Plumbing (3.3)",12
94,41,Male,Illizi - Djanet,"(26.269, 9.484)","Personal Care (Home Services), Plastering & Tiling","Personal Care (Home Services) (5.0), Plastering & Tiling (4.1)",20
95,32,Female,Constantine - Ziadia,"(36.365, 6.613)","Babysitting & Childcare, Plumbing, Home Appliance Repair, Housekeeping / Cleaning, Pest Control","Babysitting & Childcare (3.4), Plumbing (3.4), Home Appliance Repair (3.5), Housekeeping / Cleaning (4.6), Pest Control (3.7)",22
96,60,Female,Oran - El Hassi,"(35.72, -0.63)","Electrical Services, Plastering & Tiling","Electrical Services (4.2), Plastering & Tiling (3.9)",9
97,52,Male,Ouargla - Hassi Messaoud,"(32.49, 6.266)","Tailoring & Alteration, Auto Repair, Babysitting & Childcare","Tailoring & Alteration (3.1), Auto Repair (4.2), Babysitting & Childcare (3.3)",9
98,49,Female,Adrar - Timimoun,"(27.46, 0.286)","Auto Repair, Event Planning, Tailoring & Alteration, Babysitting & Childcare, Electrical Services","Auto Repair (4.1), Event Planning (4.0), Tailoring & Alteration (3.4), Babysitting & Childcare (4.1), Electrical Services (3.8)",18
99,31,Male,Constantine - Ziadia,"(36.365, 6.613)","Painting & Renovation, Event Planning, Pest Control, Tutoring & Educational","Painting & Renovation (3.2), Event Planning (3.2), Pest Control (4.5), Tutoring & Educational (4.9)",24
100,35,Male,M'sila - Ksar El Hirane,"(35.45, 4.52)","Carpentry, Plumbing, Personal Care (Home Services), Electrical Services","Carpentry (3.6), Plumbing (4.4), Personal Care (Home Services) (3.3), Electrical Services (4.7)",25
101,20,Male,Adrar - Timimoun,"(27.46, 0.286)","Pest Control, Auto Repair, Electrical Services, Personal Care (Home Services), Event Planning","Pest Control (3.3), Auto Repair (4.2), Electrical Services (3.6), Personal Care (Home Services) (4.4), Event Planning (3.1)",11
102,36,Male,Illizi - Djanet,"(26.269, 9.484)","Home Appliance Repair, Pest Control, Electrical Services","Home Appliance Repair (4.6), Pest Control (3.4), Electrical Services (3.4)",21
103,35,Female,Tlemcen - Sidi Bel Abbes,"(34.887, -1.32)","Painting & Renovation, Home Appliance Repair, Event Planning, Babysitting & Childcare, Auto Repair","Painting & Renovation (4.9), Home Appliance Repair (3.9), Event Planning (3.1), Babysitting & Childcare (4.6), Auto Repair (4.8)",26
104,52,Male,Tlemcen - Sidi Bel Abbes,"(34.887, -1.32)","Home Appliance Repair, Plastering & Tiling, Carpentry, Personal Care (Home Services), Painting & Renovation","Home Appliance Repair (4.9), Plastering & Tiling (4.4), Carpentry (4.0), Personal Care (Home Services) (4.4), Painting & Renovation (3.5)",11
105,33,Male,Oran - El Hassi,"(35.72, -0.63)","Plumbing, Tutoring & Educational, Carpentry","Plumbing (3.3), Tutoring & Educational (4.2), Carpentry (3.0)",29
106,51,Male,Ouargla - Hassi Messaoud,"(32.49, 6.266)","Tutoring & Educational, Plumbing, Babysitting & Childcare","Tutoring & Educational (4.6), Plumbing (3.1), Babysitting & Childcare (4.7)",5
107,35,Male,Setif - Belkhir,"(36.185, 5.404)","Carpentry, Pest Control","Carpentry (3.1), Pest Control (4.8)",30
108,39,Female,Tlemcen - Sidi Bel Abbes,"(34.887, -1.32)","Tutoring & Educational, Auto Repair, Carpentry, Home Appliance Repair, Babysitting & Childcare","Tutoring & Educational (4.6), Auto Repair (4.1), Carpentry (5.0), Home Appliance Repair (4.6), Babysitting & Childcare (4.4)",12
109,27,Female,Blida - Chrea,"(36.482, 2.831)","Auto Repair, Tailoring & Alteration, Plastering & Tiling, Pest Control, Carpentry","Auto Repair (3.4), Tailoring & Alteration (3.4), Plastering & Tiling (3.3), Pest Control (3.4), Carpentry (4.9)",15
110,42,Male,Batna - Aïn Touta,"(35.552, 5.804)","Event Planning, Tutoring & Educational, Painting & Renovation, Pest Control, Housekeeping / Cleaning","Event Planning (4.4), Tutoring & Educational (4.8), Painting & Renovation (4.8), Pest Control (3.8), Housekeeping / Cleaning (3.7)",17
111,30,Male,Illizi - Djanet,"(26.269, 9.484)","Tutoring & Educational, Housekeeping / Cleaning, Plumbing","Tutoring & Educational (5.0), Housekeeping / Cleaning (4.1), Plumbing (3.2)",17
112,24,Female,Skikda - La Cloche,"(36.866, 6.906)","Pest Control, Housekeeping / Cleaning, Plumbing, Painting & Renovation","Pest Control (3.2), Housekeeping / Cleaning (4.4), Plumbing (4.7), Painting & Renovation (4.5)",8
113,25,Female,Constantine - Ziadia,"(36.365, 6.613)","Tailoring & Alteration, Pest Control, Carpentry, Tutoring & Educational","Tailoring & Alteration (3.7), Pest Control (4.1), Carpentry (4.3), Tutoring & Educational (4.8)",15
114,44,Male,Ghardaia - M'zab Valley,"(32.485, 3.666)","Tailoring & Alteration, Event Planning, Home Appliance Repair, Electrical Services, Carpentry","Tailoring & Alteration (4.8), Event Planning (3.7), Home Appliance Repair (4.9), Electrical Services (4.9), Carpentry (4.7)",28
115,45,Male,Tiaret - Merine,"(35.371, 1.315)","Plumbing, Home Appliance Repair, Auto Repair, Event Planning, Carpentry","Plumbing (3.6), Home Appliance Repair (4.3), Auto Repair (3.5), Event Planning (3.2), Carpentry (4.4)",15
116,21,Female,Batna - Aïn Touta,"(35.552, 5.804)","Event Planning, Painting & Renovation, Pest Control","Event Planning (3.7), Painting & Renovation (3.8), Pest Control (3.5)",16
117,54,Male,Ghardaia - M'zab Valley,"(32.485, 3.666)","Painting & Renovation, Pest Control, Plumbing, Personal Care (Home Services)","Painting & Renovation (4.4), Pest Control (3.0), Plumbing (3.1), Personal Care (Home Services) (4.8)",27
118,29,Female,M'sila - Ksar El Hirane,"(35.45, 4.52)","Auto Repair, Tailoring & Alteration, Carpentry, Housekeeping / Cleaning, Plastering & Tiling","Auto Repair (4.2), Tailoring & Alteration (4.6), Carpentry (3.0), Housekeeping / Cleaning (3.1), Plastering & Tiling (4.7)",13
119,54,Female,Sidi Bel Abbes - El Gharbi,"(35.189, -0.63)","Plastering & Tiling, Home Appliance Repair, Electrical Services, Tailoring & Alteration","Plastering & Tiling (4.4), Home Appliance Repair (4.4), Electrical Services (4.9), Tailoring & Alteration (3.7)",23
120,59,Female,Skikda - La Cloche,"(36.866, 6.906)","Pest Control, Housekeeping / Cleaning, Personal Care (Home Services)","Pest Control (3.7), Housekeeping / Cleaning (3.7), Personal Care (Home Services) (3.8)",5
121,21,Male,Tlemcen - Sidi Bel Abbes,"(34.887, -1.32)","Home Appliance Repair, Carpentry, Plumbing","Home Appliance Repair (4.5), Carpentry (4.9), Plumbing (3.2)",23
122,35,Female,Algiers - Sidi Abdallah,"(36.745, 3.25)","Babysitting & Childcare, Housekeeping / Cleaning, Plumbing","Babysitting & Childcare (4.5), Housekeeping / Cleaning (4.8), Plumbing (4.4)",12
