Provider ID,Service Category,Location (City - Subarea),"Coordinates (X, Y)",Rating,Experience,Click Count,Review Count
255,Housekeeping / Cleaning,Tiaret - Merine,"(35.371, 1.315)",3.9,5 years,196,55
256,Event Planning,Skikda - La Cloche,"(36.866, 6.906)",4.9,8 years,271,76
257,Tailoring & Alteration,Tizi Ouzou - Ait Ali,"(36.716, 4.044)",4.8,8 years,143,78
258,Auto Repair,Batna - Aïn Touta,"(35.552, 5.804)",3.7,2 years,183,32
259,Personal Care (Home Services),Constantine - Ziadia,"(36.365, 6.613)",4.2,5 years,205,73
260,Electrical Services,Biskra - El Hassi,"(34.85, 5.72)",4.0,9 years,162,98
261,Painting & Renovation,Sidi Bel Abbes - El Gharbi,"(35.189, -0.63)",4.6,10 years,177,72
262,Home Appliance Repair,Annaba - El Hadjar,"(36.862, 7.76)",4.9,7 years,170,93
263,Painting & Renovation,Chlef - Tacheta,"(36.153, 1.333)",4.0,1 years,201,62
264,Carpentry,Ouargla - Hassi Messaoud,"(32.49, 6.266)",4.3,9 years,284,113
265,Home Appliance Repair,Mostaganem - Ain Nouissy,"(35.929, 0.089)",4.3,1 years,222,26
266,Babysitting & Childcare,Setif - Belkhir,"(36.185, 5.404)",4.9,3 years,213,55
267,Pest Control,Biskra - El Hassi,"(34.85, 5.72)",4.3,6 years,182,61
268,Painting & Renovation,Algiers - Sidi Abdallah,"(36.745, 3.25)",3.5,5 years,203,85
269,Event Planning,Constantine - Ziadia,"(36.365, 6.613)",4.1,1 years,128,54
270,Home Appliance Repair,Algiers - Sidi Abdallah,"(36.745, 3.25)",4.9,1 years,115,54
271,Plastering & Tiling,Illizi - Djanet,"(26.269, 9.484)",4.9,8 years,289,79
272,Personal Care (Home Services),Setif - Belkhir,"(36.185, 5.404)",4.7,6 years,297,50
273,Tailoring & Alteration,Algiers - Sidi Abdallah,"(36.745, 3.25)",4.4,5 years,155,75
274,Event Planning,Sidi Bel Abbes - El Gharbi,"(35.189, -0.63)",4.8,2 years,251,24
275,Tailoring & Alteration,Ouargla - Hassi Messaoud,"(32.49, 6.266)",3.9,5 years,224,53
276,Housekeeping / Cleaning,Tlemcen - Sidi Bel Abbes,"(34.887, -1.32)",3.9,6 years,166,72
277,Painting & Renovation,Blida - Chrea,"(36.482, 2.831)",4.6,5 years,178,77
278,Tailoring & Alteration,Tlemcen - Sidi Bel Abbes,"(34.887, -1.32)",4.2,5 years,172,51
279,Personal Care (Home Services),Constantine - Ziadia,"(36.365, 6.613)",4.5,5 years,191,71
280,Pest Control,M'sila - Ksar El Hirane,"(35.45, 4.52)",4.2,8 years,282,102
281,Event Planning,Oran - El Hassi,"(35.72, -0.63)",3.6,2 years,235,42
282,Carpentry,Algiers - Sidi Abdallah,"(36.745, 3.25)",4.7,1 years,183,30
283,Home Appliance Repair,Blida - Chrea,"(36.482, 2.831)",4.9,3 years,121,69
284,Carpentry,Batna - Aïn Touta,"(35.552, 5.804)",4.5,7 years,213,87
285,Housekeeping / Cleaning,Mostaganem - Ain Nouissy,"(35.929, 0.089)",3.8,8 years,214,73
286,Painting & Renovation,Bordj Bou Arreridj - El Achir,"(36.18, 3.086)",4.2,7 years,205,64
287,Plumbing,Setif - Belkhir,"(36.185, 5.404)",4.1,4 years,219,66
288,Plumbing,Illizi - Djanet,"(26.269, 9.484)",4.1,6 years,207,60
289,Carpentry,Chlef - Tacheta,"(36.153, 1.333)",4.9,1 years,93,33
290,Home Appliance Repair,Setif - Belkhir,"(36.185, 5.404)",4.7,6 years,284,53
291,Plastering & Tiling,Ouargla - Hassi Messaoud,"(32.49, 6.266)",4.9,4 years,162,53
292,Event Planning,Ouargla - Hassi Messaoud,"(32.49, 6.266)",4.1,1 years,108,22
293,Tutoring & Educational,Illizi - Djanet,"(26.269, 9.484)",4.0,2 years,197,60
294,Tailoring & Alteration,Medea - Bordj Menaiel,"(36.267, 2.741)",3.7,8 years,303,69
295,Tailoring & Alteration,Medea - Bordj Menaiel,"(36.267, 2.741)",4.9,8 years,271,101
296,Tutoring & Educational,M'sila - Ksar El Hirane,"(35.45, 4.52)",4.8,6 years,175,59
297,Event Planning,Tizi Ouzou - Ait Ali,"(36.716, 4.044)",3.9,4 years,226,74
298,Tutoring & Educational,Adrar - Timimoun,"(27.46, 0.286)",5.0,2 years,244,23
299,Housekeeping / Cleaning,Blida - Chrea,"(36.482, 2.831)",4.9,10 years,325,61
300,Auto Repair,Batna - Aïn Touta,"(35.552, 5.804)",3.5,5 years,214,76
301,Personal Care (Home Services),M'sila - Ksar El Hirane,"(35.45, 4.52)",4.5,1 years,212,47
302,Personal Care (Home Services),Tizi Ouzou - Ait Ali,"(36.716, 4.044)",3.7,6 years,129,84
303,Auto Repair,Tlemcen - Sidi Bel Abbes,"(34.887, -1.32)",4.8,7 years,148,55
304,Babysitting & Childcare,Adrar - Timimoun,"(27.46, 0.286)",3.9,5 years,254,89
305,Electrical Services,Chlef - Tacheta,"(36.153, 1.333)",4.6,10 years,177,84
306,Event Planning,Illizi - Djanet,"(26.269, 9.484)",4.1,10 years,179,99
307,Pest Control,Oran - El Hassi,"(35.72, -0.63)",3.8,4 years,288,89
308,Babysitting & Childcare,M'sila - Ksar El Hirane,"(35.45, 4.52)",4.7,4 years,106,50
309,Electrical Services,Bordj Bou Arreridj - El Achir,"(36.18, 3.086)",4.7,10 years,268,112
310,Tailoring & Alteration,Ouargla - Hassi Messaoud,"(32.49, 6.266)",4.6,4 years,270,67
311,Housekeeping / Cleaning,Tiaret - Merine,"(35.371, 1.315)",3.6,7 years,258,52
312,Personal Care (Home Services),Adrar - Timimoun,"(27.46, 0.286)",4.1,3 years,241,48
313,Home Appliance Repair,Tiaret - Merine,"(35.371, 1.315)",4.3,6 years,165,54
314,Housekeeping / Cleaning,Oran - El Hassi,"(35.72, -0.63)",3.9,6 years,156,61
315,Tailoring & Alteration,Sidi Bel Abbes - El Gharbi,"(35.189, -0.63)",4.6,8 years,225,97
316,Auto Repair,Tlemcen - Sidi Bel Abbes,"(34.887, -1.32)",4.5,3 years,149,70
317,Tailoring & Alteration,Setif - Belkhir,"(36.185, 5.404)",3.7,7 years,173,86
318,Painting & Renovation,Tlemcen - Sidi Bel Abbes,"(34.887, -1.32)",4.6,6 years,164,76
319,Babysitting & Childcare,Bordj Bou Arreridj - El Achir,"(36.18, 3.086)",4.2,1 years,103,49
320,Auto Repair,Medea - Bordj Menaiel,"(36.267, 2.741)",3.7,1 years,200,65
321,Tutoring & Educational,Ghardaia - M'zab Valley,"(32.485, 3.666)",4.8,9 years,188,103
322,Event Planning,Ghardaia - M'zab Valley,"(32.485, 3.666)",3.6,6 years,175,64
323,Plumbing,Setif - Belkhir,"(36.185, 5.404)",5.0,3 years,212,37
324,Tutoring & Educational,Ouargla - Hassi Messaoud,"(32.49, 6.266)",5.0,5 years,226,69
325,Tutoring & Educational,Blida - Chrea,"(36.482, 2.831)",3.9,5 years,218,62
326,Home Appliance Repair,El Oued - Guemar,"(33.133, 6.9)",4.3,2 years,210,53
327,Babysitting & Childcare,Oran - El Hassi,"(35.72, -0.63)",3.9,10 years,278,90
328,Plumbing,Sidi Bel Abbes - El Gharbi,"(35.189, -0.63)",3.8,4 years,259,60
329,Auto Repair,Sidi Bel Abbes - El Gharbi,"(35.189, -0.63)",5.0,8 years,200,63
330,Plumbing,Illizi - Djanet,"(26.269, 9.484)",4.5,4 years,141,42
331,Pest Control,Chlef - Tacheta,"(36.153, 1.333)",3.7,10 years,311,78
332,Plastering & Tiling,Bejaia - Tizi Rached,"(36.761, 5.748)",4.8,1 years,234,35
333,Plumbing,Tlemcen - Sidi Bel Abbes,"(34.887, -1.32)",3.7,9 years,208,95
334,Plumbing,Oran - El Hassi,"(35.72, -0.63)",4.1,9 years,166,88
335,Babysitting & Childcare,Sidi Bel Abbes - El Gharbi,"(35.189, -0.63)",3.7,9 years,236,76
336,Carpentry,Ouargla - Hassi Messaoud,"(32.49, 6.266)",4.3,9 years,276,93
337,Auto Repair,Adrar - Timimoun,"(27.46, 0.286)",4.7,7 years,160,66
338,Personal Care (Home Services),Setif - Belkhir,"(36.185, 5.404)",4.3,9 years,286,75
339,Electrical Services,Batna - Aïn Touta,"(35.552, 5.804)",4.0,4 years,252,70
340,Pest Control,Skikda - La Cloche,"(36.866, 6.906)",4.9,3 years,199,37
341,Pest Control,Illizi - Djanet,"(26.269, 9.484)",4.6,7 years,151,76
342,Tailoring & Alteration,Constantine - Ziadia,"(36.365, 6.613)",5.0,6 years,177,73
343,Plumbing,Bordj Bou Arreridj - El Achir,"(36.18, 3.086)",4.9,2 years,240,57
344,Tailoring & Alteration,Sidi Bel Abbes - El Gharbi,"(35.189, -0.63)",4.6,1 years,192,61
345,Painting & Renovation,Algiers - Sidi Abdallah,"(36.745, 3.25)",3.6,7 years,263,89
346,Event Planning,Chlef - Tacheta,"(36.153, 1.333)",3.5,1 years,151,29
347,Carpentry,Bordj Bou Arreridj - El Achir,"(36.18, 3.086)",3.9,1 years,128,69
348,Personal Care (Home Services),Setif - Belkhir,"(36.185, 5.404)",4.2,10 years,257,83
349,Plumbing,Oran - El Hassi,"(35.72, -0.63)",4.7,10 years,209,80
350,Housekeeping / Cleaning,Ouargla - Hassi Messaoud,"(32.49, 6.266)",4.4,6 years,128,65
351,Housekeeping / Cleaning,Sidi Bel Abbes - El Gharbi,"(35.189, -0.63)",3.5,9 years,216,75
352,Pest Control,Skikda - La Cloche,"(36.866, 6.906)",4.0,2 years,107,64
353,Event Planning,Annaba - El Hadjar,"(36.862, 7.76)",4.4,8 years,182,73
354,Personal Care (Home Services),Mostaganem - Ain Nouissy,"(35.929, 0.089)",3.9,5 years,171,60
355,Plumbing,Ghardaia - M'zab Valley,"(32.485, 3.666)",4.0,7 years,248,97
356,Event Planning,Bejaia - Tizi Rached,"(36.761, 5.748)",4.8,4 years,218,69
357,Auto Repair,Skikda - La Cloche,"(36.866, 6.906)",3.7,4 years,169,69
358,Painting & Renovation,Chlef - Tacheta,"(36.153, 1.333)",4.3,7 years,192,74
359,Pest Control,Chlef - Tacheta,"(36.153, 1.333)",4.0,5 years,169,76
360,Home Appliance Repair,Annaba - El Hadjar,"(36.862, 7.76)",4.2,1 years,65,54
361,Electrical Services,Bejaia - Tizi Rached,"(36.761, 5.748)",4.0,10 years,210,89
362,Personal Care (Home Services),Illizi - Djanet,"(26.269, 9.484)",4.3,4 years,243,84
363,Plumbing,Bejaia - Tizi Rached,"(36.761, 5.748)",3.9,9 years,187,107
364,Babysitting & Childcare,Oran - El Hassi,"(35.72, -0.63)",4.6,10 years,218,79
365,Plumbing,Annaba - El Hadjar,"(36.862, 7.76)",4.2,5 years,242,64
366,Event Planning,Illizi - Djanet,"(26.269, 9.484)",4.6,9 years,207,84
367,Auto Repair,Bejaia - Tizi Rached,"(36.761, 5.748)",3.8,3 years,163,48
368,Tutoring & Educational,Setif - Belkhir,"(36.185, 5.404)",4.8,9 years,239,70
369,Event Planning,Biskra - El Hassi,"(34.85, 5.72)",4.5,8 years,165,81
370,Carpentry,Skikda - La Cloche,"(36.866, 6.906)",4.7,7 years,275,65
371,Tutoring & Educational,Biskra - El Hassi,"(34.85, 5.72)",4.9,8 years,229,104
372,Tailoring & Alteration,Batna - Aïn Touta,"(35.552, 5.804)",4.3,6 years,168,88
373,Pest Control,Bejaia - Tizi Rached,"(36.761, 5.748)",4.6,8 years,217,75
374,Plumbing,M'sila - Ksar El Hirane,"(35.45, 4.52)",4.4,7 years,209,79
375,Babysitting & Childcare,Oran - El Hassi,"(35.72, -0.63)",3.5,4 years,130,65
376,Tutoring & Educational,Mostaganem - Ain Nouissy,"(35.929, 0.089)",3.8,1 years,95,53
377,Pest Control,El Oued - Guemar,"(33.133, 6.9)",3.8,7 years,194,78
378,Tailoring & Alteration,Chlef - Tacheta,"(36.153, 1.333)",4.2,2 years,94,39
379,Painting & Renovation,Tizi Ouzou - Ait Ali,"(36.716, 4.044)",4.1,6 years,196,55
380,Auto Repair,Mostaganem - Ain Nouissy,"(35.929, 0.089)",3.8,6 years,172,59
381,Painting & Renovation,Chlef - Tacheta,"(36.153, 1.333)",4.0,1 years,80,56
382,Babysitting & Childcare,Tizi Ouzou - Ait Ali,"(36.716, 4.044)",4.5,6 years,193,68
383,Plastering & Tiling,Bejaia - Tizi Rached,"(36.761, 5.748)",3.8,2 years,147,42
384,Carpentry,Adrar - Timimoun,"(27.46, 0.286)",5.0,10 years,198,82
385,Auto Repair,Skikda - La Cloche,"(36.866, 6.906)",4.7,5 years,143,77
386,Plastering & Tiling,Medea - Bordj Menaiel,"(36.267, 2.741)",3.8,4 years,125,47
387,Babysitting & Childcare,Tizi Ouzou - Ait Ali,"(36.716, 4.044)",3.7,6 years,209,64
388,Carpentry,Biskra - El Hassi,"(34.85, 5.72)",4.4,1 years,129,21
389,Babysitting & Childcare,M'sila - Ksar El Hirane,"(35.45, 4.52)",4.1,5 years,121,63
390,Personal Care (Home Services),El Oued - Guemar,"(33.133, 6.9)",4.2,5 years,148,46
391,Electrical Services,Skikda - La Cloche,"(36.866, 6.906)",3.8,7 years,248,53
392,Painting & Renovation,Chlef - Tacheta,"(36.153, 1.333)",4.1,7 years,232,72
393,Tutoring & Educational,Annaba - El Hadjar,"(36.862, 7.76)",3.9,2 years,190,41
394,Plumbing,Biskra - El Hassi,"(34.85, 5.72)",4.9,9 years,235,83
395,Babysitting & Childcare,Tlemcen - Sidi Bel Abbes,"(34.887, -1.32)",4.6,5 years,160,74
396,Housekeeping / Cleaning,Tlemcen - Sidi Bel Abbes,"(34.887, -1.32)",4.4,3 years,265,39
397,Auto Repair,Constantine - Ziadia,"(36.365, 6.613)",3.8,7 years,244,56
398,Plumbing,Bejaia - Tizi Rached,"(36.761, 5.748)",3.6,9 years,216,94
399,Home Appliance Repair,Bejaia - Tizi Rached,"(36.761, 5.748)",4.0,9 years,190,71
400,Home Appliance Repair,Adrar - Timimoun,"(27.46, 0.286)",4.3,6 years,155,92
401,Babysitting & Childcare,Ouargla - Hassi Messaoud,"(32.49, 6.266)",4.6,2 years,188,46
402,Auto Repair,Bordj Bou Arreridj - El Achir,"(36.18, 3.086)",4.3,10 years,243,80
403,Personal Care (Home Services),Mostaganem - Ain Nouissy,"(35.929, 0.089)",5.0,6 years,218,66
404,Plastering & Tiling,M'sila - Ksar El Hirane,"(35.45, 4.52)",5.0,1 years,111,50
